parent_site,category_1,category_2,category_3,url_pg_1,url_pg_2
etsy,Accessories,Baby Accessories,Baby Headbands,https://www.etsy.com/c/handmade/accessories/baby-accessories/baby-headbands?explicit=1,https://www.etsy.com/c/handmade/accessories/baby-accessories/baby-headbands?explicit=1&ref=pagination&page=2
etsy,Accessories,Baby Accessories,Children's Photo Props,https://www.etsy.com/c/handmade/accessories/baby-accessories/childrens-photo-props?explicit=1,https://www.etsy.com/c/handmade/accessories/baby-accessories/childrens-photo-props?explicit=1&ref=pagination&page=2
etsy,Accessories,Baby Accessories,Bibs & Burping,https://www.etsy.com/c/handmade/accessories/baby-accessories/bibs-and-burping?explicit=1,https://www.etsy.com/c/handmade/accessories/baby-accessories/bibs-and-burping?explicit=1&ref=pagination&page=2
etsy,Accessories,Baby Accessories,Baby Carriers & Wraps,https://www.etsy.com/c/handmade/accessories/baby-accessories/baby-carriers-and-wraps?explicit=1,https://www.etsy.com/c/handmade/accessories/baby-accessories/baby-carriers-and-wraps?explicit=1&ref=pagination&page=2
etsy,Accessories,Patches & Pins,,https://www.etsy.com/c/handmade/accessories/patches-and-pins?explicit=1,https://www.etsy.com/c/handmade/accessories/patches-and-pins?explicit=1&ref=pagination&page=2
etsy,Accessories,Suit & Tie Accessories,Cuff Links,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/cufflinks-and-tie-tacks/cuff-links?explicit=1,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/cufflinks-and-tie-tacks/cuff-links?explicit=1&ref=pagination&page=2
etsy,Accessories,Suit & Tie Accessories,Tie Clips & Tacks,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/cufflinks-and-tie-tacks/tie-tacks?explicit=1,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/cufflinks-and-tie-tacks/tie-tacks?explicit=1&ref=pagination&page=2
etsy,Accessories,Suit & Tie Accessories,Tie Bars,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/cufflinks-and-tie-tacks/tie-bars?explicit=1,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/cufflinks-and-tie-tacks/tie-bars?explicit=1&ref=pagination&page=2
etsy,Accessories,Suit & Tie Accessories,Collar Stays,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/cufflinks-and-tie-tacks/collar-stays?explicit=1,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/cufflinks-and-tie-tacks/collar-stays?explicit=1&ref=pagination&page=2
etsy,Accessories,Suit & Tie Accessories,Neckties,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/neckties?explicit=1,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/neckties?explicit=1&ref=pagination&page=2
etsy,Accessories,Suit & Tie Accessories,Bow Ties,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/bow-ties?explicit=1,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/bow-ties?explicit=1&ref=pagination&page=2
etsy,Accessories,Suit & Tie Accessories,Pocket Squares,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/pocket-squares?explicit=1,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/pocket-squares?explicit=1&ref=pagination&page=2
etsy,Accessories,Suit & Tie Accessories,Bolo Ties,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/bolo-ties?explicit=1,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/bolo-ties?explicit=1&ref=pagination&page=2
etsy,Accessories,Suit & Tie Accessories,Formal Vests,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/formal-vests?explicit=1,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/formal-vests?explicit=1&ref=pagination&page=2
etsy,Accessories,Suit & Tie Accessories,Shirt Studs,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/shirt-studs?explicit=1,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/shirt-studs?explicit=1&ref=pagination&page=2
etsy,Accessories,Suit & Tie Accessories,Ascots,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/ascots?explicit=1,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/ascots?explicit=1&ref=pagination&page=2
etsy,Accessories,Suit & Tie Accessories,Cummerbunds,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/cummerbunds?explicit=1,https://www.etsy.com/c/handmade/accessories/suit-and-tie-accessories/cummerbunds?explicit=1&ref=pagination&page=2
etsy,Accessories,Costume Accessories,Masks & Prosthetics,https://www.etsy.com/c/handmade/accessories/costume-accessories/masks-and-prosthetics?explicit=1,https://www.etsy.com/c/handmade/accessories/costume-accessories/masks-and-prosthetics?explicit=1&ref=pagination&page=2
etsy,Accessories,Costume Accessories,Costume Tails & Ears,https://www.etsy.com/c/handmade/accessories/costume-accessories/costume-tails-and-ears?explicit=1,https://www.etsy.com/c/handmade/accessories/costume-accessories/costume-tails-and-ears?explicit=1&ref=pagination&page=2
etsy,Accessories,Costume Accessories,Costume Hats & Headpieces,https://www.etsy.com/c/handmade/accessories/costume-accessories/costume-hats-and-headpieces?explicit=1,https://www.etsy.com/c/handmade/accessories/costume-accessories/costume-hats-and-headpieces?explicit=1&ref=pagination&page=2
etsy,Accessories,Costume Accessories,Costume Weapons,https://www.etsy.com/c/handmade/accessories/costume-accessories/costume-weapons?explicit=1,https://www.etsy.com/c/handmade/accessories/costume-accessories/costume-weapons?explicit=1&ref=pagination&page=2
etsy,Accessories,Costume Accessories,Wands,https://www.etsy.com/c/handmade/accessories/costume-accessories/wands?explicit=1,https://www.etsy.com/c/handmade/accessories/costume-accessories/wands?explicit=1&ref=pagination&page=2
